make,model,year,trans,vclass,cylinders,drive,comb,city,hwy,trany,displ
"Ford","Escape AWD",2014,"Automatic","Small Sport Utility","4 Cylinders","All-Wheel Drive",24,21,28,"Automatic (S6)","2.0"
"Ford","Focus FWD",2014,"Automatic","Compact Cars","4 Cylinders","Front-Wheel Drive",31,27,37,"Auto(AM6)","2.0"
"Porsche","911 Targa 4S",2014,"Manual","Minicompact Cars","6 Cylinders","4-Wheel Drive",21,18,26,"Manual(M7)","3.8"
"Chevrolet","Equinox FWD",2014,"Automatic","Small Sport Utility","6 Cylinders","Front-Wheel Drive",20,17,24,"Automatic 6-spd","3.6"
"BMW","335i xDrive",2014,"Manual","Compact Cars","6 Cylinders","All-Wheel Drive",23,20,28,"Manual 6-spd","3.0"
"Nissan","Armada 4WD",2014,"Automatic","Standard Sport Utility","8 Cylinders","4-Wheel Drive",14,12,18,"Automatic 5-spd","5.6"
"Nissan","Armada 2WD",2014,"Automatic","Standard Sport Utility","8 Cylinders","Rear-Wheel Drive",15,13,19,"Automatic 5-spd","5.6"
"Ford","Flex FWD",2014,"Automatic","Standard Sport Utility","6 Cylinders","Front-Wheel Drive",20,18,25,"Automatic (S6)","3.5"
"Nissan","Xterra 4WD",2014,"Manual","Small Sport Utility","6 Cylinders","4-Wheel Drive",17,16,20,"Manual 6-spd","4.0"
"BMW","M6 Convertible",2014,"Manual","Subcompact Cars","8 Cylinders","Rear-Wheel Drive",17,15,22,"Manual 6-spd","4.4"
"Chevrolet","Sonic",2014,"Automatic","Compact Cars","4 Cylinders","Front-Wheel Drive",31,27,37,"Automatic (S6)","1.4"
"BMW","435i Coupe",2014,"Manual","Compact Cars","6 Cylinders","Rear-Wheel Drive",23,20,30,"Manual 6-spd","3.0"
"Nissan","GT-R",2014,"Automatic","Subcompact Cars","6 Cylinders","All-Wheel Drive",19,16,23,"Auto(AM6)","3.8"
"Chevrolet","Corvette",2014,"Automatic","Two Seaters","8 Cylinders","Rear-Wheel Drive",20,16,28,"Automatic (S6)","6.2"
"Chevrolet","Camaro",2014,"Automatic","Compact Cars","8 Cylinders","Rear-Wheel Drive",14,12,18,"Automatic (S6)","6.2"
"Chevrolet","Equinox AWD",2014,"Automatic","Small Sport Utility","6 Cylinders","All-Wheel Drive",19,16,23,"Automatic 6-spd","3.6"
"Ford","Fusion FWD",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",29,25,37,"Manual 6-spd","1.6"
"BMW","650i Coupe",2014,"Automatic","Subcompact Cars","8 Cylinders","Rear-Wheel Drive",20,17,25,"Automatic (S8)","4.4"
"Ford","Taurus AWD",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",20,17,25,"Automatic (S6)","3.5"
"Chevrolet","Sonic",2014,"Manual","Compact Cars","4 Cylinders","Front-Wheel Drive",30,26,35,"Manual 5-spd","1.8"
"Chevrolet","Traverse AWD",2014,"Automatic","Standard Sport Utility","6 Cylinders","All-Wheel Drive",19,16,23,"Automatic 6-spd","3.6"
"BMW","Z4 sDrive28i",2014,"Manual","Two Seaters","4 Cylinders","Rear-Wheel Drive",26,22,34,"Manual 6-spd","2.0"
"BMW","M6 Gran Coupe",2014,"Automatic","Compact Cars","8 Cylinders","Rear-Wheel Drive",16,14,20,"Auto(AM-S7)","4.4"
"BMW","Z4 sDrive35i",2014,"Manual","Two Seaters","6 Cylinders","Rear-Wheel Drive",21,19,26,"Manual 6-spd","3.0"
"BMW","X6 xDrive50i",2014,"Automatic","Standard Sport Utility","8 Cylinders","All-Wheel Drive",17,14,21,"Automatic (S8)","4.4"
"Ford","Mustang",2014,"Manual","Subcompact Cars","8 Cylinders","Rear-Wheel Drive",19,15,26,"Manual 6-spd","5.0"
"BMW","550i Gran Turismo",2014,"Automatic","Large Cars","8 Cylinders","Rear-Wheel Drive",19,16,25,"Automatic (S8)","4.4"
"BMW","640i xDrive Convertible",2014,"Automatic","Subcompact Cars","6 Cylinders","All-Wheel Drive",23,20,29,"Automatic (S8)","3.0"
"Chevrolet","Tahoe K10 4WD",2014,"Automatic","Standard Sport Utility","8 Cylinders","4-Wheel Drive",17,15,21,"Automatic 6-spd","5.3"
"Chevrolet","Camaro",2014,"Manual","Compact Cars","8 Cylinders","Rear-Wheel Drive",16,14,19,"Manual 6-spd","6.2"
"Porsche","911 Carrera S",2014,"Manual","Minicompact Cars","6 Cylinders","Rear-Wheel Drive",22,19,27,"Manual 7-spd","3.8"
"Nissan","Altima",2014,"Automatic","Midsize Cars","4 Cylinders","Front-Wheel Drive",31,27,38,"Automatic (variable gear ratios)","2.5"
